Date,Description,Deposits/Additions,Withdrawals/Subtractions
2/26/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
2/28/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,100.00
3/1/2024,Atlas Manufacturing Direct Deposit,760.41,
3/1/2024,Non-WF ATM Withdrawal Holiday Store #462 Minneapolis MN,,303.00
3/1/2024,Non-Wells Fargo ATM Transaction Fee,,2.50
3/4/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,250.00
3/4/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
3/8/2024,Atlas Manufacturing Direct Deposit,760.41,
3/11/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,429.00
3/11/2024,M1 Payments,,100.00
3/13/2024,NFCU ACH P2P,520.00,
3/14/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,180.00
3/15/2024,Atlas Manufacturing Direct Deposit,760.41,
3/15/2024,M1 Payments,,100.00
3/18/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
3/18/2024,Paypal Inst Xfer Google Wanderlo,,5.87
3/18/2024,Paypal Inst Xfer Spotifyusai,,11.98
3/18/2024,Paypal Inst Xfer Google Amazon M,,16.04
3/22/2024,Atlas Manufacturing Direct Deposit,760.42,
3/22/2024,M1 Payments,,50.00
3/26/2024,Chase Credit Crd Epay,,139.45
3/27/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,600.00
3/29/2024,Atlas Manufacturing Direct Deposit,760.41,
3/29/2024,Non-WF ATM Withdrawal Holiday Store #462 Minneapolis MN,,403.00
3/29/2024,Non-Wells Fargo ATM Transaction Fee,,2.50
3/29/2024,Online Transfer to Wings Financial Credit Union Sav for The House,,1000.00
3/29/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,100.00
3/29/2024,M1 Payments,,50.00
4/4/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
4/5/2024,Atlas Manufacturing Direct Deposit,760.41,
4/5/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,153.00
4/5/2024,M1 Payments,,50.00
4/8/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,500.00
4/8/2024,Chase Credit Crd Epay,,23.54
4/9/2024,Purchase 365 Market 888 43 Troy MI,,4.28
4/12/2024,Atlas Manufacturing Direct Deposit,794.33,
4/12/2024,M1 Payments,,50.00
4/15/2024,WT Fed#04627 Mvb Bank Inc /Org=Payward Ventures Inc,6988.57,
4/15/2024,Wire Trans Svc Charge,,15.00
4/16/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
4/16/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,100.00
4/16/2024,Online Transfer to Wings Financial Credit Union Sav for The House,,500.00
4/16/2024,Paypal Inst Xfer Google Amazon M,,16.04
4/17/2024,Chase Credit Crd Epay,,31.62
4/17/2024,Chase Credit Crd Epay,,200.00
4/17/2024,Paypal Inst Xfer Spotifyusai,,11.98
4/19/2024,Atlas Manufacturing Direct Deposit,794.32,
4/19/2024,M1 Payments,,50.00
4/22/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,400.00
4/26/2024,Atlas Manufacturing Direct Deposit,794.32,
4/26/2024,M1 Payments,,50.00
4/29/2024,Chase Credit Crd Epay,,253.07
4/30/2024,Non-WF ATM Withdrawal Holiday Store #462 Minneapolis MN,,303.00
4/30/2024,Non-Wells Fargo ATM Transaction Fee,,2.50
5/1/2024,Online Transfer to Wings Financial Credit Union Sav for The House,,1000.00
5/2/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
5/3/2024,Atlas Manufacturing Direct Deposit,794.33,
5/3/2024,Kraken Ftt6Rbw,1502.89,
5/3/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,407.00
5/3/2024,M1 Payments,,50.00
5/6/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,400.00
5/9/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,570.00
5/9/2024,Venmo *Jaimee Leibfri,,225.25
5/10/2024,Atlas Manufacturing Direct Deposit,794.32,
5/10/2024,M1 Payments,,50.00
5/13/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
5/14/2024,Venmo *Jaimee Leibfri,,300.00
5/16/2024,Paypal Inst Xfer Google Amazon M,,16.04
5/17/2024,Atlas Manufacturing Direct Deposit,794.32,
5/17/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,400.00
5/17/2024,Venmo *Jaimee Leibfri,,400.00
5/17/2024,M1 Payments,,50.00
5/17/2024,Paypal Inst Xfer Spotifyusai,,11.98
5/20/2024,Paypal Inst Xfer Google Ilya Kor,,21.39
5/24/2024,Atlas Manufacturing Direct Deposit,794.32,
5/24/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,400.00
5/24/2024,M1 Payments,,50.00
5/28/2024,Venmo *Jaimee Leibfri,,100.00
5/28/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,350.00
5/28/2024,Online Transfer to Wings Financial Credit Union Sav for The House,,1000.00
5/28/2024,Non-WF ATM Withdrawal 1650 NEW Brighton Blvd Minneapolis MN,,303.00
5/28/2024,Non-Wells Fargo ATM Transaction Fee,,2.50
5/28/2024,Non-WF ATM Withdrawal 1650 NEW Brighton Blvd Minneapolis MN,,303.00
5/28/2024,Non-Wells Fargo ATM Transaction Fee,,2.50
5/28/2024,Non-WF ATM Withdrawal 1650 NEW Brighton Blvd Minneapolis MN,,303.00
5/28/2024,Non-Wells Fargo ATM Transaction Fee,,2.50
5/30/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,216.00
5/31/2024,Atlas Manufacturing Direct Deposit,794.33,
5/31/2024,M1 Payments,,50.00
6/3/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,450.00
6/6/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,190.00
6/7/2024,Atlas Manufacturing Direct Deposit,794.31,
6/7/2024,Purchase Target T-1300 Univers Saint Paul MN,,289.94
6/7/2024,M1 Payments,,50.00
6/10/2024,Purchase The King's Thai Cu Fridley MN,,54.96
6/10/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,500.00
6/14/2024,Atlas Manufacturing Direct Deposit,469.33,
6/14/2024,M1 Payments,,50.00
6/17/2024,Paypal Inst Xfer Spotifyusai,,11.98
6/17/2024,Paypal Inst Xfer Simplemobil,,52.99
6/18/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,700.00
6/21/2024,Atlas Manufacturing Direct Deposit,469.32,
6/21/2024,M1 Payments,,50.00
6/24/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,600.00
6/24/2024,Purchase Target T-1300 Univers Saint Paul MN,,236.44
6/28/2024,Atlas Manufacturing Direct Deposit,469.33,
6/28/2024,M1 Payments,,50.00
8/2/2024,Atlas Manufacturing Direct Deposit,519.32,
8/2/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,87.81
8/2/2024,M1 Payments,,30.00
8/5/2024,Purchase Pizza Luce MN,,51.67
8/5/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
8/6/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
8/6/2024,Purchase Tobasi Stop 2 Saint Paul MN,,50.02
8/7/2024,Paypal Inst Xfer Google Mars Gam,,1.06
8/8/2024,Paypal Inst Xfer Google Mars Gam,,1.06
8/8/2024,Paypal Inst Xfer Google Mars Gam,,5.34
8/8/2024,Paypal Inst Xfer Google Mars Gam,,1.06
8/8/2024,Paypal Inst Xfer Google Mars Gam,,1.06
8/8/2024,Paypal Inst Xfer Google Mars Gam,,5.34
8/8/2024,Paypal Inst Xfer Google Mars Gam,,21.39
8/9/2024,Atlas Manufacturing Direct Deposit,469.33,
8/9/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,71.71
8/9/2024,M1 Payments,,30.00
8/9/2024,Paypal Inst Xfer Google Mars Gam,,1.06
8/12/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,400.00
8/12/2024,Paypal Inst Xfer Google Mars Gam,,1.06
8/12/2024,Paypal Inst Xfer Google Mars Gam,,5.34
8/14/2024,Paypal Inst Xfer Simplemobil,,55.29
8/16/2024,Atlas Manufacturing Direct Deposit,469.31,
8/16/2024,M1 Payments,,30.00
8/19/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,110.00
8/19/2024,Paypal Inst Xfer Spotifyusai,,13.07
8/20/2024,Kraken Ftfb8Sg,1190.00,
8/20/2024,Purchase Holiday Stations 0 Saint Paul MN,,54.82
8/20/2024,Online Transfer to Way2Save Savings,,2000.00
8/23/2024,Atlas Manufacturing Direct Deposit,469.33,
8/23/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,249.00
8/23/2024,M1 Payments,,30.00
8/26/2024,Paypal Inst Xfer Google Mars Gam,,1.06
8/28/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,190.00
8/30/2024,Atlas Manufacturing Direct Deposit,469.32,
8/30/2024,M1 Payments,,30.00
9/3/2024,Paypal Inst Xfer Google Mars Gam,,1.06
9/3/2024,Paypal Inst Xfer Google Mars Gam,,1.06
9/3/2024,Paypal Inst Xfer Google Mars Gam,,1.06
9/3/2024,Paypal Inst Xfer Google Mars Gam,,1.06
9/3/2024,Paypal Inst Xfer Google Mars Gam,,1.06
9/3/2024,Paypal Inst Xfer Google Mars Gam,,1.06
9/4/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,600.00
9/6/2024,Atlas Manufacturing Direct Deposit,469.33,
9/6/2024,M1 Payments,,30.00
9/9/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,400.00
9/9/2024,Paypal Inst Xfer Google Spdrnest,,7.48
9/9/2024,Paypal Inst Xfer Google Mars Gam,,1.06
9/11/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,100.00
9/13/2024,Atlas Manufacturing Direct Deposit,469.31,
9/13/2024,M1 Payments,,30.00
9/16/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,500.00
9/16/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.08
9/16/2024,Paypal Inst Xfer Google Mars Gam,,1.06
9/18/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
9/18/2024,Paypal Inst Xfer Google Mars Gam,,1.06
9/18/2024,Paypal Inst Xfer Google Mars Gam,,1.06
9/20/2024,Wingscu P2Pext Xfr,400.00,
9/20/2024,Atlas Manufacturing Direct Deposit,469.33,
9/20/2024,M1 Payments,,30.00
9/23/2024,Paypal Inst Xfer Google Mars Gam,,5.34
9/23/2024,Paypal Inst Xfer Google Mars Gam,,16.04
9/26/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
9/27/2024,Atlas Manufacturing Direct Deposit,469.32,
9/27/2024,M1 Payments,,30.00
9/27/2024,Paypal Inst Xfer Google Elex,,1.06
9/30/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,400.00
1/2/2025,Paypal Inst Xfer Google Mars Gam,,1.06
1/3/2025,Atlas Manufacturing Direct Deposit,432.23,
1/3/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,281.00
1/3/2025,M1 Payments,,50.00
1/6/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
1/9/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,114.65
1/9/2025,Chase Credit Crd Epay,,21.92
1/10/2025,Atlas Manufacturing Direct Deposit,432.23,
1/10/2025,M1 Payments,,50.00
1/13/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,146.00
1/13/2025,Paypal Inst Xfer Google Mars Gam,,1.06
1/17/2025,Atlas Manufacturing Direct Deposit,432.23,
1/17/2025,M1 Payments,,50.00
1/21/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
1/23/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
1/24/2025,Atlas Manufacturing Direct Deposit,432.24,
1/24/2025,M1 Payments,,50.00
1/27/2025,Kraken Ftbayrn,2000.00,
1/27/2025,Kraken Ftbs0Wz,5162.00,
1/27/2025,Kraken Ftdhz9Y,5000.00,
1/27/2025,Online Transfer to Wings Financial Credit Union Sav for Furnace and AC,,5000.00
1/27/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,100.00
1/27/2025,Kraken TX,,1000.00
1/28/2025,Kraken Ftawh7M,5000.00,
1/28/2025,Kraken Ftljfaj,4000.00,
1/28/2025,Online Transfer to Wings Financial Credit Union Sav for AC and Furnace,,5000.00
1/28/2025,Online Transfer to Way2Save Savings for Next Year Taxes,,700.00
1/31/2025,Atlas Manufacturing Direct Deposit,432.23,
1/31/2025,M1 Payments,,50.00
2/3/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,700.00
2/6/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
2/7/2025,Atlas Manufacturing Direct Deposit,432.23,
2/7/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
2/7/2025,M1 Payments,,50.00
2/13/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
2/14/2025,Atlas Manufacturing Direct Deposit,371.97,
2/14/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,100.00
2/14/2025,Purchase Mnrd-Stpl Mdwy 2005 W Uni Saint Paul MN,,40.08
2/14/2025,Purchase Tobasi Stop 2 Saint Paul MN,,9.77
2/14/2025,M1 Payments,,50.00
2/18/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
2/19/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,212.00
2/19/2025,MN Dept of Revenue MN Rev Pay,,1183.00
2/19/2025,IRS Usataxpymt,,5667.00
2/21/2025,Atlas Manufacturing Direct Deposit,432.23,
2/21/2025,M1 Payments,,50.00
2/28/2025,Atlas Manufacturing Direct Deposit,432.23,
2/28/2025,M1 Payments,,50.00
3/3/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,153.31
3/4/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,311.10
3/7/2025,Atlas Manufacturing Direct Deposit,271.53,
3/7/2025,M1 Payments,,50.00
3/10/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,221.00
3/13/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
3/13/2025,Paypal Inst Xfer Google Audible,,171.19
3/14/2025,Atlas Manufacturing Direct Deposit,432.23,
3/14/2025,M1 Payments,,50.00
3/17/2025,Venmo *Jaimee Leibfri,,2500.00
3/19/2025,Wingscu P2Pext Xfr,2500.00,
3/20/2025,Wells Fargo Rewards,131.00,
3/20/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
3/21/2025,Atlas Manufacturing Direct Deposit,387.03,
3/21/2025,M1 Payments,,50.00
3/24/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,280.00
3/24/2025,Non-WF ATM Withdrawal 415 Main Ave N Harmony MN,,200.00
3/24/2025,Non-Wells Fargo ATM Transaction Fee,,3.00
3/24/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
3/28/2025,Atlas Manufacturing Direct Deposit,432.24,
3/28/2025,M1 Payments,,50.00
3/31/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,479.29
3/31/2025,Paypal Inst Xfer Google Amazon M,,16.04
6/2/2025,Wells Fargo Rewards,121.00,
6/2/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,100.00
6/2/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,230.00
6/2/2025,Paypal Inst Xfer Google Audible,,4.27
6/3/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,50.00
6/6/2025,Atlas Manufacturing Direct Deposit,447.29,
6/6/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,173.00
6/6/2025,M1 Payments,,50.00
6/13/2025,Atlas Manufacturing Direct Deposit,447.29,
6/13/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,700.00
6/13/2025,M1 Payments,,50.00
6/17/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
6/20/2025,Atlas Manufacturing Direct Deposit,447.31,
6/20/2025,M1 Payments,,50.00
6/23/2025,Non-WF ATM Withdrawal 13717 Johnson St NE Ham Lake MN,,203.25
6/23/2025,Non-Wells Fargo ATM Transaction Fee,,3.00
6/23/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,391.00
6/25/2025,Paypal Inst Xfer Google Audible,,10.68
6/26/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,500.00
6/27/2025,Atlas Manufacturing Direct Deposit,497.29,
6/27/2025,M1 Payments,,50.00
6/30/2025,Connectyourcare Optumclaim,364.74,
7/1/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,299.00
7/3/2025,Atlas Manufacturing Direct Deposit,497.29,
7/7/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,450.00
7/7/2025,M1 Payments,,50.00
7/9/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,400.00
7/10/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,94.00
7/11/2025,Atlas Manufacturing Direct Deposit,497.29,
7/11/2025,Kraken Ftdb15W,771.03,
7/11/2025,M1 Payments,,50.00
7/14/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
7/17/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
7/18/2025,Atlas Manufacturing Direct Deposit,486.91,
7/18/2025,M1 Payments,,50.00
7/21/2025,Kraken Ftotw3D,2675.28,
7/21/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,1000.00
7/21/2025,Online Transfer to Way2Save Savings,,1500.00
7/22/2025,Paypal Inst Xfer Google Audible,,7.48
7/25/2025,Atlas Manufacturing Direct Deposit,497.29,
7/25/2025,M1 Payments,,50.00
7/28/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,273.00
8/1/2025,Atlas Manufacturing Payroll,476.51,
8/1/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
8/1/2025,M1 Payments,,50.00
8/5/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,127.00
8/8/2025,Atlas Manufacturing Payroll,497.29,
8/8/2025,M1 Payments,,50.00
8/14/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,1100.00
8/15/2025,Atlas Manufacturing Payroll,497.29,
8/15/2025,M1 Payments,,50.00
8/19/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
8/22/2025,Atlas Manufacturing Payroll,497.29,
8/22/2025,M1 Payments,,50.00
8/25/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
8/26/2025,Wingscu P2Pext Xfr,700.00,
8/26/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,500.00
8/26/2025,Online Transfer to Way2Save Savings,,800.00
8/29/2025,Atlas Manufacturing Payroll,497.30,
8/29/2025,M1 Payments,,50.00
8/29/2025,Paypal Inst Xfer Google Audible,,42.79
9/5/2025,Atlas Manufacturing Payroll,497.30,
9/5/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,500.00
9/5/2025,M1 Payments,,50.00
9/8/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,600.00
9/12/2025,Atlas Manufacturing Payroll,497.29,
9/12/2025,M1 Payments,,50.00
9/15/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,400.00
9/15/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,440.00
9/18/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,0.98
9/18/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,100.00
9/19/2025,Wells Fargo Rewards,196.41,
9/19/2025,Atlas Manufacturing Payroll,497.29,
9/19/2025,M1 Payments,,50.00
9/22/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,140.00
9/25/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,400.00
9/26/2025,Atlas Manufacturing Payroll,497.30,
9/26/2025,M1 Payments,,50.00
9/29/2025,Online Transfer From Way2Save Savings,2500.00,
9/29/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,150.00
9/29/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
9/30/2025,M1 Payments,,100.00
9/30/2025,M1 Payments,,2500.00
10/1/2025,Online Transfer to Way2Save Savings,,100.00
10/3/2025,Atlas Manufacturing Payroll,497.29,
10/3/2025,M1 Payments,,50.00
10/6/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
10/6/2025,Online Transfer to Way2Save Savings,,208.00
10/6/2025,Paypal Inst Xfer Google Wanderlo,,5.34
10/10/2025,Atlas Manufacturing Payroll,497.29,
10/10/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
10/10/2025,M1 Payments,,50.00
10/14/2025,Wells Fargo Rewards,51.00,
10/14/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
10/15/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,130.00
10/17/2025,Atlas Manufacturing Payroll,497.29,
10/17/2025,M1 Payments,,50.00
10/20/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,265.79
10/23/2025,Kraken Ftcgyag,1121.15,
10/23/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
10/24/2025,Atlas Manufacturing Payroll,497.30,
10/24/2025,M1 Payments,,50.00
10/28/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,1000.00
10/30/2025,Connectyourcare Optumclaim,464.42,
10/31/2025,Atlas Manufacturing Payroll,497.29,
10/31/2025,M1 Payments,,50.00
11/3/2025,Online Transfer to Way2Save Savings,,105.00
11/5/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,100.00
11/7/2025,Atlas Manufacturing Payroll,497.29,
11/7/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,200.00
11/7/2025,M1 Payments,,50.00
11/12/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,300.00
11/12/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,107.00
11/14/2025,Atlas Manufacturing Payroll,601.26,
11/14/2025,M1 Payments,,25.00
11/14/2025,M1 Payments,,50.00
11/14/2025,Paypal Inst Xfer Google Textnow,,5.34
11/18/2025,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,321.00
11/21/2025,Atlas Manufacturing Payroll,590.87,
11/21/2025,M1 Payments,,25.00
11/21/2025,M1 Payments,,50.00
